1	3	4	10	11	21	22	36	37	55	56	78	79	105	106	136	137	171	172	210	211	253	254	300	301	351	352	406	407	465	466	528	529	595	596	666	667	741	742	820	821	903	904	990	991	1081	1082	1176	1177	1275	1276	1378	1379	1485	1486	1596	1597	1711	1712	1830	1831	1953	1954	2080	2081	2211	2212	2346	2347	2485	2486	2628	2629	2775	2776	2926	2927	3081	3082	3240	3241	3403	3404	3570	3571	3741	3742	3916	3917	4095	4096	4278	4279	4465	4466	4656	4657	4851	4852	5050	5051	5253	5254	5460	5461	5671	5672	5886	5887	6105	6106	6328	6329	6555	6556	6786	6787	7021	7022	7260	7261	7503	7504	7750	7751	8001	8002	8256	8257	8515	8516	8778	8779	9045	9046	9316	9317	9591	9592	9870	9871	10153	10154	10440	10441	10731	10732	11026	11027	11325	11326	11628	11629	11935	11936	12246	12247	12561	12562	12880	12881	13203	13204	13530	13531	13861	13862	14196	14197	14535	14536	14878	14879	15225	15226	15576	15577	15931	15932	16290	16291	16653	16654	17020	17021	17391	17392	17766	17767	18145	18146	18528	18529	18915	18916	19306	19307	19701	19702	20100	20101	20503	20504	20910	20911	21321	21322	21736	21737	22155	22156	22578	22579	23005	23006	23436	23437	23871	23872	24310	24311	24753	24754	25200	25201	25651	25652	26106	26107	26565	26566	27028	27029	27495	27496	27966	27967	28441	28442	28920	28921	29403	29404	29890	29891	30381	30382	30876	30877	31375	31376	31878	31879	32385	32386	32896	32897	33411	33412	33930	33931	34453	34454	34980	34981	35511	35512	36046	36047	36585	36586	37128	37129	37675	37676	38226	38227	38781	38782	39340	39341	39903	39904	40470	40471	41041	41042	41616	41617	42195	42196	42778	42779	43365	43366	43956	43957	44551	44552	45150	
2	5	9	12	20	23	35	38	54	57	77	80	104	107	135	138	170	173	209	212	252	255	299	302	350	353	405	408	464	467	527	530	594	597	665	668	740	743	819	822	902	905	989	992	1080	1083	1175	1178	1274	1277	1377	1380	1484	1487	1595	1598	1710	1713	1829	1832	1952	1955	2079	2082	2210	2213	2345	2348	2484	2487	2627	2630	2774	2777	2925	2928	3080	3083	3239	3242	3402	3405	3569	3572	3740	3743	3915	3918	4094	4097	4277	4280	4464	4467	4655	4658	4850	4853	5049	5052	5252	5255	5459	5462	5670	5673	5885	5888	6104	6107	6327	6330	6554	6557	6785	6788	7020	7023	7259	7262	7502	7505	7749	7752	8000	8003	8255	8258	8514	8517	8777	8780	9044	9047	9315	9318	9590	9593	9869	9872	10152	10155	10439	10442	10730	10733	11025	11028	11324	11327	11627	11630	11934	11937	12245	12248	12560	12563	12879	12882	13202	13205	13529	13532	13860	13863	14195	14198	14534	14537	14877	14880	15224	15227	15575	15578	15930	15933	16289	16292	16652	16655	17019	17022	17390	17393	17765	17768	18144	18147	18527	18530	18914	18917	19305	19308	19700	19703	20099	20102	20502	20505	20909	20912	21320	21323	21735	21738	22154	22157	22577	22580	23004	23007	23435	23438	23870	23873	24309	24312	24752	24755	25199	25202	25650	25653	26105	26108	26564	26567	27027	27030	27494	27497	27965	27968	28440	28443	28919	28922	29402	29405	29889	29892	30380	30383	30875	30878	31374	31377	31877	31880	32384	32387	32895	32898	33410	33413	33929	33932	34452	34455	34979	34982	35510	35513	36045	36048	36584	36587	37127	37130	37674	37677	38225	38228	38780	38783	39339	39342	39902	39905	40469	40472	41040	41043	41615	41618	42194	42197	42777	42780	43364	43367	43955	43958	44550	44553	45149	45151	
6	8	13	19	24	34	39	53	58	76	81	103	108	134	139	169	174	208	213	251	256	298	303	349	354	404	409	463	468	526	531	593	598	664	669	739	744	818	823	901	906	988	993	1079	1084	1174	1179	1273	1278	1376	1381	1483	1488	1594	1599	1709	1714	1828	1833	1951	1956	2078	2083	2209	2214	2344	2349	2483	2488	2626	2631	2773	2778	2924	2929	3079	3084	3238	3243	3401	3406	3568	3573	3739	3744	3914	3919	4093	4098	4276	4281	4463	4468	4654	4659	4849	4854	5048	5053	5251	5256	5458	5463	5669	5674	5884	5889	6103	6108	6326	6331	6553	6558	6784	6789	7019	7024	7258	7263	7501	7506	7748	7753	7999	8004	8254	8259	8513	8518	8776	8781	9043	9048	9314	9319	9589	9594	9868	9873	10151	10156	10438	10443	10729	10734	11024	11029	11323	11328	11626	11631	11933	11938	12244	12249	12559	12564	12878	12883	13201	13206	13528	13533	13859	13864	14194	14199	14533	14538	14876	14881	15223	15228	15574	15579	15929	15934	16288	16293	16651	16656	17018	17023	17389	17394	17764	17769	18143	18148	18526	18531	18913	18918	19304	19309	19699	19704	20098	20103	20501	20506	20908	20913	21319	21324	21734	21739	22153	22158	22576	22581	23003	23008	23434	23439	23869	23874	24308	24313	24751	24756	25198	25203	25649	25654	26104	26109	26563	26568	27026	27031	27493	27498	27964	27969	28439	28444	28918	28923	29401	29406	29888	29893	30379	30384	30874	30879	31373	31378	31876	31881	32383	32388	32894	32899	33409	33414	33928	33933	34451	34456	34978	34983	35509	35514	36044	36049	36583	36588	37126	37131	37673	37678	38224	38229	38779	38784	39338	39343	39901	39906	40468	40473	41039	41044	41614	41619	42193	42198	42776	42781	43363	43368	43954	43959	44549	44554	45148	45152	45747	
7	14	18	25	33	40	52	59	75	82	102	109	133	140	168	175	207	214	250	257	297	304	348	355	403	410	462	469	525	532	592	599	663	670	738	745	817	824	900	907	987	994	1078	1085	1173	1180	1272	1279	1375	1382	1482	1489	1593	1600	1708	1715	1827	1834	1950	1957	2077	2084	2208	2215	2343	2350	2482	2489	2625	2632	2772	2779	2923	2930	3078	3085	3237	3244	3400	3407	3567	3574	3738	3745	3913	3920	4092	4099	4275	4282	4462	4469	4653	4660	4848	4855	5047	5054	5250	5257	5457	5464	5668	5675	5883	5890	6102	6109	6325	6332	6552	6559	6783	6790	7018	7025	7257	7264	7500	7507	7747	7754	7998	8005	8253	8260	8512	8519	8775	8782	9042	9049	9313	9320	9588	9595	9867	9874	10150	10157	10437	10444	10728	10735	11023	11030	11322	11329	11625	11632	11932	11939	12243	12250	12558	12565	12877	12884	13200	13207	13527	13534	13858	13865	14193	14200	14532	14539	14875	14882	15222	15229	15573	15580	15928	15935	16287	16294	16650	16657	17017	17024	17388	17395	17763	17770	18142	18149	18525	18532	18912	18919	19303	19310	19698	19705	20097	20104	20500	20507	20907	20914	21318	21325	21733	21740	22152	22159	22575	22582	23002	23009	23433	23440	23868	23875	24307	24314	24750	24757	25197	25204	25648	25655	26103	26110	26562	26569	27025	27032	27492	27499	27963	27970	28438	28445	28917	28924	29400	29407	29887	29894	30378	30385	30873	30880	31372	31379	31875	31882	32382	32389	32893	32900	33408	33415	33927	33934	34450	34457	34977	34984	35508	35515	36043	36050	36582	36589	37125	37132	37672	37679	38223	38230	38778	38785	39337	39344	39900	39907	40467	40474	41038	41045	41613	41620	42192	42199	42775	42782	43362	43369	43953	43960	44548	44555	45147	45153	45746	45748	
15	17	26	32	41	51	60	74	83	101	110	132	141	167	176	206	215	249	258	296	305	347	356	402	411	461	470	524	533	591	600	662	671	737	746	816	825	899	908	986	995	1077	1086	1172	1181	1271	1280	1374	1383	1481	1490	1592	1601	1707	1716	1826	1835	1949	1958	2076	2085	2207	2216	2342	2351	2481	2490	2624	2633	2771	2780	2922	2931	3077	3086	3236	3245	3399	3408	3566	3575	3737	3746	3912	3921	4091	4100	4274	4283	4461	4470	4652	4661	4847	4856	5046	5055	5249	5258	5456	5465	5667	5676	5882	5891	6101	6110	6324	6333	6551	6560	6782	6791	7017	7026	7256	7265	7499	7508	7746	7755	7997	8006	8252	8261	8511	8520	8774	8783	9041	9050	9312	9321	9587	9596	9866	9875	10149	10158	10436	10445	10727	10736	11022	11031	11321	11330	11624	11633	11931	11940	12242	12251	12557	12566	12876	12885	13199	13208	13526	13535	13857	13866	14192	14201	14531	14540	14874	14883	15221	15230	15572	15581	15927	15936	16286	16295	16649	16658	17016	17025	17387	17396	17762	17771	18141	18150	18524	18533	18911	18920	19302	19311	19697	19706	20096	20105	20499	20508	20906	20915	21317	21326	21732	21741	22151	22160	22574	22583	23001	23010	23432	23441	23867	23876	24306	24315	24749	24758	25196	25205	25647	25656	26102	26111	26561	26570	27024	27033	27491	27500	27962	27971	28437	28446	28916	28925	29399	29408	29886	29895	30377	30386	30872	30881	31371	31380	31874	31883	32381	32390	32892	32901	33407	33416	33926	33935	34449	34458	34976	34985	35507	35516	36042	36051	36581	36590	37124	37133	37671	37680	38222	38231	38777	38786	39336	39345	39899	39908	40466	40475	41037	41046	41612	41621	42191	42200	42774	42783	43361	43370	43952	43961	44547	44556	45146	45154	45745	45749	46340	
16	27	31	42	50	61	73	84	100	111	131	142	166	177	205	216	248	259	295	306	346	357	401	412	460	471	523	534	590	601	661	672	736	747	815	826	898	909	985	996	1076	1087	1171	1182	1270	1281	1373	1384	1480	1491	1591	1602	1706	1717	1825	1836	1948	1959	2075	2086	2206	2217	2341	2352	2480	2491	2623	2634	2770	2781	2921	2932	3076	3087	3235	3246	3398	3409	3565	3576	3736	3747	3911	3922	4090	4101	4273	4284	4460	4471	4651	4662	4846	4857	5045	5056	5248	5259	5455	5466	5666	5677	5881	5892	6100	6111	6323	6334	6550	6561	6781	6792	7016	7027	7255	7266	7498	7509	7745	7756	7996	8007	8251	8262	8510	8521	8773	8784	9040	9051	9311	9322	9586	9597	9865	9876	10148	10159	10435	10446	10726	10737	11021	11032	11320	11331	11623	11634	11930	11941	12241	12252	12556	12567	12875	12886	13198	13209	13525	13536	13856	13867	14191	14202	14530	14541	14873	14884	15220	15231	15571	15582	15926	15937	16285	16296	16648	16659	17015	17026	17386	17397	17761	17772	18140	18151	18523	18534	18910	18921	19301	19312	19696	19707	20095	20106	20498	20509	20905	20916	21316	21327	21731	21742	22150	22161	22573	22584	23000	23011	23431	23442	23866	23877	24305	24316	24748	24759	25195	25206	25646	25657	26101	26112	26560	26571	27023	27034	27490	27501	27961	27972	28436	28447	28915	28926	29398	29409	29885	29896	30376	30387	30871	30882	31370	31381	31873	31884	32380	32391	32891	32902	33406	33417	33925	33936	34448	34459	34975	34986	35506	35517	36041	36052	36580	36591	37123	37134	37670	37681	38221	38232	38776	38787	39335	39346	39898	39909	40465	40476	41036	41047	41611	41622	42190	42201	42773	42784	43360	43371	43951	43962	44546	44557	45145	45155	45744	45750	46339	46341	
28	30	43	49	62	72	85	99	112	130	143	165	178	204	217	247	260	294	307	345	358	400	413	459	472	522	535	589	602	660	673	735	748	814	827	897	910	984	997	1075	1088	1170	1183	1269	1282	1372	1385	1479	1492	1590	1603	1705	1718	1824	1837	1947	1960	2074	2087	2205	2218	2340	2353	2479	2492	2622	2635	2769	2782	2920	2933	3075	3088	3234	3247	3397	3410	3564	3577	3735	3748	3910	3923	4089	4102	4272	4285	4459	4472	4650	4663	4845	4858	5044	5057	5247	5260	5454	5467	5665	5678	5880	5893	6099	6112	6322	6335	6549	6562	6780	6793	7015	7028	7254	7267	7497	7510	7744	7757	7995	8008	8250	8263	8509	8522	8772	8785	9039	9052	9310	9323	9585	9598	9864	9877	10147	10160	10434	10447	10725	10738	11020	11033	11319	11332	11622	11635	11929	11942	12240	12253	12555	12568	12874	12887	13197	13210	13524	13537	13855	13868	14190	14203	14529	14542	14872	14885	15219	15232	15570	15583	15925	15938	16284	16297	16647	16660	17014	17027	17385	17398	17760	17773	18139	18152	18522	18535	18909	18922	19300	19313	19695	19708	20094	20107	20497	20510	20904	20917	21315	21328	21730	21743	22149	22162	22572	22585	22999	23012	23430	23443	23865	23878	24304	24317	24747	24760	25194	25207	25645	25658	26100	26113	26559	26572	27022	27035	27489	27502	27960	27973	28435	28448	28914	28927	29397	29410	29884	29897	30375	30388	30870	30883	31369	31382	31872	31885	32379	32392	32890	32903	33405	33418	33924	33937	34447	34460	34974	34987	35505	35518	36040	36053	36579	36592	37122	37135	37669	37682	38220	38233	38775	38788	39334	39347	39897	39910	40464	40477	41035	41048	41610	41623	42189	42202	42772	42785	43359	43372	43950	43963	44545	44558	45144	45156	45743	45751	46338	46342	46929	
29	44	48	63	71	86	98	113	129	144	164	179	203	218	246	261	293	308	344	359	399	414	458	473	521	536	588	603	659	674	734	749	813	828	896	911	983	998	1074	1089	1169	1184	1268	1283	1371	1386	1478	1493	1589	1604	1704	1719	1823	1838	1946	1961	2073	2088	2204	2219	2339	2354	2478	2493	2621	2636	2768	2783	2919	2934	3074	3089	3233	3248	3396	3411	3563	3578	3734	3749	3909	3924	4088	4103	4271	4286	4458	4473	4649	4664	4844	4859	5043	5058	5246	5261	5453	5468	5664	5679	5879	5894	6098	6113	6321	6336	6548	6563	6779	6794	7014	7029	7253	7268	7496	7511	7743	7758	7994	8009	8249	8264	8508	8523	8771	8786	9038	9053	9309	9324	9584	9599	9863	9878	10146	10161	10433	10448	10724	10739	11019	11034	11318	11333	11621	11636	11928	11943	12239	12254	12554	12569	12873	12888	13196	13211	13523	13538	13854	13869	14189	14204	14528	14543	14871	14886	15218	15233	15569	15584	15924	15939	16283	16298	16646	16661	17013	17028	17384	17399	17759	17774	18138	18153	18521	18536	18908	18923	19299	19314	19694	19709	20093	20108	20496	20511	20903	20918	21314	21329	21729	21744	22148	22163	22571	22586	22998	23013	23429	23444	23864	23879	24303	24318	24746	24761	25193	25208	25644	25659	26099	26114	26558	26573	27021	27036	27488	27503	27959	27974	28434	28449	28913	28928	29396	29411	29883	29898	30374	30389	30869	30884	31368	31383	31871	31886	32378	32393	32889	32904	33404	33419	33923	33938	34446	34461	34973	34988	35504	35519	36039	36054	36578	36593	37121	37136	37668	37683	38219	38234	38774	38789	39333	39348	39896	39911	40463	40478	41034	41049	41609	41624	42188	42203	42771	42786	43358	43373	43949	43964	44544	44559	45143	45157	45742	45752	46337	46343	46928	46930	
45	47	64	70	87	97	114	128	145	163	180	202	219	245	262	292	309	343	360	398	415	457	474	520	537	587	604	658	675	733	750	812	829	895	912	982	999	1073	1090	1168	1185	1267	1284	1370	1387	1477	1494	1588	1605	1703	1720	1822	1839	1945	1962	2072	2089	2203	2220	2338	2355	2477	2494	2620	2637	2767	2784	2918	2935	3073	3090	3232	3249	3395	3412	3562	3579	3733	3750	3908	3925	4087	4104	4270	4287	4457	4474	4648	4665	4843	4860	5042	5059	5245	5262	5452	5469	5663	5680	5878	5895	6097	6114	6320	6337	6547	6564	6778	6795	7013	7030	7252	7269	7495	7512	7742	7759	7993	8010	8248	8265	8507	8524	8770	8787	9037	9054	9308	9325	9583	9600	9862	9879	10145	10162	10432	10449	10723	10740	11018	11035	11317	11334	11620	11637	11927	11944	12238	12255	12553	12570	12872	12889	13195	13212	13522	13539	13853	13870	14188	14205	14527	14544	14870	14887	15217	15234	15568	15585	15923	15940	16282	16299	16645	16662	17012	17029	17383	17400	17758	17775	18137	18154	18520	18537	18907	18924	19298	19315	19693	19710	20092	20109	20495	20512	20902	20919	21313	21330	21728	21745	22147	22164	22570	22587	22997	23014	23428	23445	23863	23880	24302	24319	24745	24762	25192	25209	25643	25660	26098	26115	26557	26574	27020	27037	27487	27504	27958	27975	28433	28450	28912	28929	29395	29412	29882	29899	30373	30390	30868	30885	31367	31384	31870	31887	32377	32394	32888	32905	33403	33420	33922	33939	34445	34462	34972	34989	35503	35520	36038	36055	36577	36594	37120	37137	37667	37684	38218	38235	38773	38790	39332	39349	39895	39912	40462	40479	41033	41050	41608	41625	42187	42204	42770	42787	43357	43374	43948	43965	44543	44560	45142	45158	45741	45753	46336	46344	46927	46931	47514	
46	65	69	88	96	115	127	146	162	181	201	220	244	263	291	310	342	361	397	416	456	475	519	538	586	605	657	676	732	751	811	830	894	913	981	1000	1072	1091	1167	1186	1266	1285	1369	1388	1476	1495	1587	1606	1702	1721	1821	1840	1944	1963	2071	2090	2202	2221	2337	2356	2476	2495	2619	2638	2766	2785	2917	2936	3072	3091	3231	3250	3394	3413	3561	3580	3732	3751	3907	3926	4086	4105	4269	4288	4456	4475	4647	4666	4842	4861	5041	5060	5244	5263	5451	5470	5662	5681	5877	5896	6096	6115	6319	6338	6546	6565	6777	6796	7012	7031	7251	7270	7494	7513	7741	7760	7992	8011	8247	8266	8506	8525	8769	8788	9036	9055	9307	9326	9582	9601	9861	9880	10144	10163	10431	10450	10722	10741	11017	11036	11316	11335	11619	11638	11926	11945	12237	12256	12552	12571	12871	12890	13194	13213	13521	13540	13852	13871	14187	14206	14526	14545	14869	14888	15216	15235	15567	15586	15922	15941	16281	16300	16644	16663	17011	17030	17382	17401	17757	17776	18136	18155	18519	18538	18906	18925	19297	19316	19692	19711	20091	20110	20494	20513	20901	20920	21312	21331	21727	21746	22146	22165	22569	22588	22996	23015	23427	23446	23862	23881	24301	24320	24744	24763	25191	25210	25642	25661	26097	26116	26556	26575	27019	27038	27486	27505	27957	27976	28432	28451	28911	28930	29394	29413	29881	29900	30372	30391	30867	30886	31366	31385	31869	31888	32376	32395	32887	32906	33402	33421	33921	33940	34444	34463	34971	34990	35502	35521	36037	36056	36576	36595	37119	37138	37666	37685	38217	38236	38772	38791	39331	39350	39894	39913	40461	40480	41032	41051	41607	41626	42186	42205	42769	42788	43356	43375	43947	43966	44542	44561	45141	45159	45740	45754	46335	46345	46926	46932	47513	47515	
